sample-id	time-point	day	body-site	rep	treatment
#q2:types	categorical 	numeric	categorical 	numeric	categorical 
D15-1	Day15	15	Cecal	3	BSea05
D15-2	Day15	15	Cecal	3	BSea10
D15-3	Day15	15	Cecal	3	Basal
D15-4	Day15	15	Cecal	3	BSea15
D15-5	Day15	15	Cecal	5	BSea05
D15-6	Day15	15	Cecal	5	BSea15
D15-7	Day15	15	Cecal	5	Basal
D15-8	Day15	15	Cecal	5	BSea10
D15-9	Day15	15	Cecal	6	BSea15
D15-10	Day15	15	Cecal	6	BSea10
D15-11	Day15	15	Cecal	6	BSea05
D15-12	Day15	15	Cecal	6	Basal
D15-13	Day15	15	Cecal	2	Basal
D15-14	Day15	15	Cecal	2	BSea05
D15-15	Day15	15	Cecal	2	BSea15
D15-16	Day15	15	Cecal	2	BSea10
D15-17	Day15	15	Cecal	1	Basal
D15-18	Day15	15	Cecal	1	BSea10
D15-19	Day15	15	Cecal	1	BSea05
D15-20	Day15	15	Cecal	1	BSea15
D15-21	Day15	15	Cecal	4	BSea05
D15-22	Day15	15	Cecal	4	BSea15
D15-23	Day15	15	Cecal	4	BSea10
D15-24	Day15	15	Cecal	4	Basal
D15-25	Day15	15	Cecal	8	BSea10
D15-26	Day15	15	Cecal	8	BSea15
D15-27	Day15	15	Cecal	8	Basal
D15-28	Day15	15	Cecal	8	BSea05
D15-29	Day15	15	Cecal	7	BSea05
D15-30	Day15	15	Cecal	7	BSea10
D15-31	Day15	15	Cecal	7	Basal
D15-32	Day15	15	Cecal	7	BSea15
D22-1	Day22	22	Cecal	3	BSea05
D22-2	Day22	22	Cecal	3	BSea10
D22-3	Day22	22	Cecal	3	Basal
D22-4	Day22	22	Cecal	3	BSea15
D22-05	Day22	22	Cecal	5	BSea05
D22-06	Day22	22	Cecal	5	BSea15
D22-07	Day22	22	Cecal	5	Basal
D22-08	Day22	22	Cecal	5	BSea10
D22-09	Day22	22	Cecal	6	BSea15
D22-10	Day22	22	Cecal	6	BSea10
D22-11	Day22	22	Cecal	6	BSea05
D22-12	Day22	22	Cecal	6	Basal
D22-13	Day22	22	Cecal	2	Basal
D22-14	Day22	22	Cecal	2	BSea05
D22-15	Day22	22	Cecal	2	BSea15
D22-16	Day22	22	Cecal	2	BSea10
D22-17	Day22	22	Cecal	1	Basal
D22-18	Day22	22	Cecal	1	BSea10
D22-19	Day22	22	Cecal	1	BSea05
D22-20	Day22	22	Cecal	1	BSea15
D22-21	Day22	22	Cecal	4	BSea05
D22-22	Day22	22	Cecal	4	BSea15
D22-23	Day22	22	Cecal	4	BSea10
D22-24	Day22	22	Cecal	4	Basal
D22-25	Day22	22	Cecal	8	BSea10
D22-26	Day22	22	Cecal	8	BSea15
D22-27	Day22	22	Cecal	8	Basal
D22-28	Day22	22	Cecal	8	BSea05
D22-29	Day22	22	Cecal	7	BSea05
D22-30	Day22	22	Cecal	7	BSea10
D22-31	Day22	22	Cecal	7	Basal
D22-32	Day22	22	Cecal	7	BSea15
